Protein	p_value	log2FC
	0.9348077800479595	-0.050556432979477255
	0.7895778228517082	-0.18706581480014353
	0.5990216164161706	-0.926699076687386
	0.8211526791088305	0.04525813797440851
	0.4006069306000424	0.5447541458073959
	0.09543460035282778	1.216328051620379
	0.17177109012122282	0.5187879484100995
	0.9175932384576467	0.03273008796551204
	0.8351317363703572	-0.038471433458820856
	0.5571509608777363	0.6277668232629865
	0.1784020788950771	0.7910331903214176
	0.9996060797073232	0.00018487794487895444
	0.6077683540369445	0.14241179910023208
	0.29134172761282695	0.28448530141113065
	0.5719354519038204	-1.4244978285062544
	0.1964988532301701	1.3278253641902922
	0.373900966300059	31.662887600773562
	0.2713102353105229	8.575749322160123
	0.5987460788730673	-0.651787463408053
	0.16150178065022552	1.335754988390589
	0.2661568237444775	1.6196956547236745
	0.46144646423855684	1.0257229928955967
	0.8463299945432227	0.16078820686982895
	0.918047249005871	0.11907315417876374
	0.35792273967525856	1.140983218011053
	0.211389238014627	38.64956622185475
	0.2643711059722891	-1.1090992062427032
	0.2826766594783317	0.7046651022594677
	0.19191488587098984	33.89735285407643
	0.817685282620683	0.17768561747089298
		0.0
	0.28074818994059125	1.1211882600194618
	0.36848275694286214	0.15742842390053485
	0.7061087100564041	0.23493239830128465
	0.14929468195287077	0.5612290303865927
	0.12118603408613879	0.6851546388443795
	0.6243027583424481	0.1187076021325105
	0.2604668162920451	0.8591874647011525
	0.3732308701516417	0.3120716366518215
	0.29383826800496116	1.5032787031188812
	0.01714290974573644	-0.6198697337004411
	0.4785162732718935	0.16539764359838238
	0.2821995717835302	1.6970907312977428
	0.2712549432608113	-2.2448571852117767
	0.6322274627537297	0.10728224290748468
	0.6404940865014725	0.24782438890953742
	0.21112688230056498	-0.5552192324546327
	0.6158674009496203	-0.4063147954873887
	0.16964327408701396	-1.287048455002174
	0.74063243663185	-0.42756459715142114
	0.004804683363850597	0.8908272531780217
	0.2073487822882836	0.4908552770115854
	0.09581773470531413	0.5986434227993823
	0.41442591494277187	2.520571913449608
	0.20035471199516042	-0.22006427592327119
	0.12458025962669395	-0.9339668790365915
	0.11150557484034397	0.5532513253620074
	0.3195087254386787	-1.7169053713080704
	0.14566146281159098	2.470142098670842
	0.7782923655394133	0.3103795929714901
	0.41752297579317	0.6300485409475927
	0.7013438659094149	0.17395322008810032
	0.373900966300059	-37.58944522942081
	0.5290131257845546	0.2552719875884006
	0.4112334876542084	0.4861084912755796
	0.11042054063620226	1.480370360997632
	0.20507986105225848	-0.2554337254382322
	0.350496959774601	1.6896220128662758
	0.5962450318743391	-0.6877186789660479
	0.8238828161741469	-0.05103730688823133
	0.7669438068933647	0.1009734229765906
	0.28251144461479966	0.1259558996482896
	0.3269834378533547	0.30020882987646513
	0.056623635876563924	2.3142709900428966
	0.559218879260884	-0.276171362838543
		0.0
	0.41264957785014916	0.9410038140487746
	0.4751842775919527	0.19347641296785306
	0.870017515192886	-0.049054908098313435
	0.5971604258314205	0.15071385091069742
	0.7470173220950667	0.18857018753453378
