Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
DGLUCY		6302	4359	6949	6880	6063	8611	5449	5223	4957	2598
DHCR24		3768	251	1754	0	2708	8805	1876	5953	1269	2669
DHCR7		25093	11039	14987	7563	6960	19028	9983	19937	1733	20026
DHFR		1893	0	0	0	0	0	0	2103	0	11834
DHODH		1401	1346	1430	1838	1309	1447	3294	1908	1792	1261
DHPS		1023	0	0	0	0	0	773	365	0	828
DHRS1		12789	10989	15067	16181	9299	12585	17675	19657	16301	10047
DHRS11		7693	15936	16017	20030	9301	11080	8061	12778	13551	12721
DHRS13		1141	1592	2592	0	1648	2604	3898	4126	3009	13282
DHRS2		4446	11083	302	0	62990	155691	238602	5442	0	11657
DHRS4		19176	13556	16568	14604	16536	18267	37511	40189	16699	7316
DHRS7		23769	23318	35214	18701	23338	23008	44649	17953	31281	13760
DHRS7B		1346	1762	3845	1472	4210	5156	3604	4876	0	1820
DHTKD1		1265	987	800	699	607	1314	1806	2380	1108	1570
DHX15		19811	14112	17442	5525	11866	14373	15959	15568	17256	26787
DHX16		550	0	279	354	114	518	605	469	453	327
DHX29		581	919	825	505	541	319	783	767	0	378
DHX30		1125	970	1308	1018	1009	991	759	1847	1254	1932
DHX32		0	216	363	0	0	1018	594	682	0	399
DHX33		0	0	0	0	0	0	53	49	0	0
DHX35		880	0	88	332	943	1593	1728	1176	1151	3482
DHX36		760	494	805	455	481	809	768	633	0	928
DHX37		179	0	0	0	0	95	0	69	0	51
DHX38		419	17	68	0	1098	719	91	707	0	1050
DHX57		269	0	0	165	56	38	49	221	0	438
DHX58		498	0	28	0	0	0	301	515	0	93
DHX9		24931	18133	19428	8795	13326	17162	16776	14651	19191	23254
DIABLO		71167	72011	44186	89574	92183	83597	32005	53824	16427	17345
DIAPH1		2439	1202	1385	1101	1454	1833	1989	1761	977	1277
DIAPH2		704	560	539	1086	930	713	290	155	810	493
DICER1		160	0	135	0	0	35	119	46	0	0
DIDO1		363	57	242	55	112	325	128	173	0	261
DIMT1		1271	0	925	0	1055	818	287	1079	0	457
DIP2A		0	0	245	0	0	290	313	138	35	186
DIP2B		652	323	651	832	498	863	559	446	143	1302
DIP2C		0	0	0	0	0	0	38	67	0	79
DIPK2A		1471	0	0	720	1155	1343	66	620	1011	72
DIS3		2147	1406	1496	1677	1606	1845	1343	1082	2398	1209
